contig,contrast,logFC,logCPM,LR,PValue,FDR,Accession,Fullname,Altnames,Pfam,GO,CellularComponent,Molecular.Function,Biological.Process
contig-60_9687,binary.seasonlate.and.fall,5.807636794,4.290829355,24.81917712,6.30E-07,2.11E-05,Q04512 Q3J239,5-aminolevulinate synthase 1,5-aminolevulinic acid synthase;Delta-ALA synthase;Delta-aminolevulinate synthase;, PF00155;, GO:0003870;GO:0030170;GO:0006782;, ,  F:5-aminolevulinate synthase activity; F:pyridoxal phosphate binding;,  P:protoporphyrinogen IX biosynthetic process;
contig-60_4158070,binary.seasonlate.and.fall,5.810634185,4.952722243,9.031739316,0.002653319,0.034264827,,,, , , , , 
contig-60_5092521,binary.seasonlate.and.fall,5.811815373,4.76256041,23.46771612,1.27E-06,3.72E-05,Q8BKF1 Q8BJE0,"DNA-directed RNA polymerase, mitochondrial",, PF00940;PF14700;, GO:0034245;GO:0005759;GO:0042645;GO:0005739;GO:0032991;GO:0003899;GO:0001018;GO:0043565;GO:0006390;,  C:mitochondrial DNA-directed RNA polymerase complex; C:mitochondrial matrix; C:mitochondrial nucleoid; C:mitochondrion; C:protein-containing complex;,  F:DNA-directed 5'-3' RNA polymerase activity; F:mitochondrial promoter sequence-specific DNA binding; F:sequence-specific DNA binding;,  P:mitochondrial transcription;
contig-60_106369,binary.seasonlate.and.fall,5.819543696,4.448763032,13.24662661,0.000273071,0.004630932,,,, , , , , 
contig-60_11004,binary.seasonlate.and.fall,5.822567118,4.480335616,27.01063639,2.02E-07,8.60E-06,,,, , , , , 
contig-60_892265,binary.seasonlate.and.fall,5.824303833,3.743151977,18.0742771,2.12E-05,0.000444742,,,, , , , , 
contig-60_31254,binary.seasonlate.and.fall,5.825417754,3.865269273,13.09008395,0.000296863,0.004998028,,,, , , , , 
contig-60_2522071,binary.seasonlate.and.fall,5.837313955,4.161593541,11.94597419,0.000547656,0.008652372,,,, , , , , 
contig-60_123591,binary.seasonlate.and.fall,5.839123615,3.962465203,16.74728467,4.27E-05,0.000836904,,,, , , , , 
contig-60_26458,binary.seasonlate.and.fall,5.84362254,5.690951208,13.86473534,0.00019645,0.003399965,,,, , , , , 
contig-60_2798340,binary.seasonlate.and.fall,5.845347536,4.365422231,12.70159426,0.000365344,0.006003697,,,, , , , , 
contig-60_5729,binary.seasonlate.and.fall,5.858939612,5.034377631,23.73981777,1.10E-06,3.29E-05,P0C7J3 P29956 Q93S98,Xanthan biosynthesis protein XanB,, PF01050;PF00483;, GO:0005525;GO:0004475;GO:0004476;GO:0009298;GO:0009103;, ,  F:GTP binding; F:mannose-1-phosphate guanylyltransferase activity; F:mannose-6-phosphate isomerase activity;,  P:GDP-mannose biosynthetic process; P:lipopolysaccharide biosynthetic process;
contig-60_4068061,binary.seasonlate.and.fall,5.862139864,7.150958364,11.59111201,0.000662678,0.010228903,,,, , , , , 
contig-60_8574,binary.seasonlate.and.fall,5.862276754,5.153480004,17.0160701,3.71E-05,0.0007365,,,, , , , , 
contig-60_10642,binary.seasonlate.and.fall,5.868243937,5.214775405,22.13084374,2.55E-06,6.69E-05,,,, , , , , 
contig-60_51454,binary.seasonlate.and.fall,5.873434296,5.366866648,11.04391162,0.000889789,0.013266048,,,, , , , , 
contig-60_1753065,binary.seasonlate.and.fall,5.875282129,4.374198488,20.10172355,7.34E-06,0.000170195,Q6WHE1,"Major capsid protein {ECO:0000250|UniProtKB:P04535, ECO:0000255|HAMAP-Rule:MF_04117}","Gene product 23 {ECO:0000250|UniProtKB:P04535};Major head protein {ECO:0000255|HAMAP-Rule:MF_04117, ECO:0000305};gp23 {ECO:0000250|UniProtKB:P04535, ECO:0000255|HAMAP-Rule:MF_04117};", PF07068;, GO:0019028;,  C:viral capsid;, , 
contig-60_11112,binary.seasonlate.and.fall,5.87578276,4.328784735,26.42688427,2.74E-07,1.08E-05,P06225,DNA polymerase,, PF00476;, GO:0003677;GO:0003887;GO:0004527;GO:0006261;GO:0039693;, ,  F:DNA binding; F:DNA-directed DNA polymerase activity; F:exonuclease activity;,  P:DNA-dependent DNA replication; P:viral DNA genome replication;
contig-60_102053,binary.seasonlate.and.fall,5.879315119,3.804803095,19.92575688,8.05E-06,0.000184544,,,, , , , , 
contig-60_96231,binary.seasonlate.and.fall,5.87963262,5.447330524,19.39577062,1.06E-05,0.000235964,,,, , , , , 
contig-60_894,binary.seasonlate.and.fall,5.879636176,5.406203877,19.83792387,8.43E-06,0.000192522,,,, , , , , 
contig-60_3889,binary.seasonlate.and.fall,5.883616862,5.566296775,17.62908193,2.68E-05,0.000550745,,,, , , , , 
contig-60_3885657,binary.seasonlate.and.fall,5.883895349,4.457380761,9.841584772,0.001706104,0.023266735,Q58513,Putative glycosyltransferase MJ1113,, PF00953;, GO:0005887;GO:0008963;GO:0016780;GO:0016757;GO:0044038;GO:0071555;,  C:integral component of plasma membrane;,"  F:phospho-N-acetylmuramoyl-pentapeptide-transferase activity; F:phosphotransferase activity, for other substituted phosphate groups; F:transferase activity, transferring glycosyl groups;",  P:cell wall macromolecule biosynthetic process; P:cell wall organization;
contig-60_59302,binary.seasonlate.and.fall,5.88946672,4.188182005,18.19069264,2.00E-05,0.00042078,,,, , , , , 
contig-60_2797,binary.seasonlate.and.fall,5.894378093,5.246113634,21.47092784,3.59E-06,9.02E-05,,,, , , , , 
contig-60_752087,binary.seasonlate.and.fall,5.895567352,3.99935241,10.95570899,0.000933157,0.013802486,,,, , , , , 
contig-60_212614,binary.seasonlate.and.fall,5.896510241,4.279000732,21.46157585,3.61E-06,9.04E-05,,,, , , , , 
contig-60_3428,binary.seasonlate.and.fall,5.897352773,4.918016249,14.04300578,0.000178677,0.003125281,P00641,Endonuclease I,Gene product 3;Junction-resolving enzyme gp3;, PF05367;, GO:0008833;GO:0003677;GO:0099015;GO:0015074;GO:0039657;, ,  F:deoxyribonuclease IV (phage-T4-induced) activity; F:DNA binding;,  P:degradation of host chromosome by virus; P:DNA integration; P:suppression by virus of host gene expression;
contig-60_24128,binary.seasonlate.and.fall,5.89948839,3.768989337,18.21347847,1.97E-05,0.000416576,,,, , , , , 
contig-60_454434,binary.seasonlate.and.fall,5.901686009,4.916469258,16.76816972,4.22E-05,0.000829722,P03747,Tail tubular protein gp12,Gene product 12;, , GO:0098026;GO:0099002;,"  C:virus tail, tube;", ,"  P:viral genome ejection through host cell envelope, short tail mechanism;"
contig-60_10106,binary.seasonlate.and.fall,5.911870417,4.861026095,12.30112437,0.000452686,0.007293344,,,, , , , , 
contig-60_416700,binary.seasonlate.and.fall,5.915076863,4.182344928,17.49483428,2.88E-05,0.000587366,P03746,Tail tubular protein gp11,Gene product 11;, PF17212;, GO:0098026;GO:0099002;,"  C:virus tail, tube;", ,"  P:viral genome ejection through host cell envelope, short tail mechanism;"
contig-60_67938,binary.seasonlate.and.fall,5.918095622,5.064717178,17.18251252,3.40E-05,0.000679219,P03747,Tail tubular protein gp12,Gene product 12;, , GO:0098026;GO:0099002;,"  C:virus tail, tube;", ,"  P:viral genome ejection through host cell envelope, short tail mechanism;"
contig-60_557998,binary.seasonlate.and.fall,5.922191319,5.086265003,24.67058065,6.80E-07,2.25E-05,Q7Y2D9,DNA-directed RNA polymerase {ECO:0000303|PubMed:12890620},, PF00940;PF14700;, GO:0003677;GO:0003899;GO:0039695;GO:0006351;, ,  F:DNA binding; F:DNA-directed 5'-3' RNA polymerase activity;,"  P:DNA-templated viral transcription; P:transcription, DNA-templated;"
contig-60_379688,binary.seasonlate.and.fall,5.922368176,4.479466084,20.09637541,7.36E-06,0.000170551,,,, , , , , 
contig-60_149,binary.seasonlate.and.fall,5.92269911,6.882989443,17.03202113,3.68E-05,0.000731223,P47264 P47262 P47263 Q49209 Q49302,Uncharacterized ATP-dependent helicase MG018,, PF00271;PF00176;PF04434;, GO:0005524;GO:0004386;GO:0008270;, ,  F:ATP binding; F:helicase activity; F:zinc ion binding;, 
contig-60_2617891,binary.seasonlate.and.fall,5.925587302,4.313071947,9.358727516,0.002219262,0.02931216,P20311,DNA-directed DNA polymerase {ECO:0000255|HAMAP-Rule:MF_04101},Gene product 5;, PF00476;, GO:0008408;GO:0003677;GO:0003887;GO:0046872;GO:0000166;GO:0006261;GO:0039693;, ,  F:3'-5' exonuclease activity; F:DNA binding; F:DNA-directed DNA polymerase activity; F:metal ion binding; F:nucleotide binding;,  P:DNA-dependent DNA replication; P:viral DNA genome replication;
contig-60_6522928,binary.seasonlate.and.fall,5.927416657,4.165359222,19.51660963,9.97E-06,0.000222972,,,, , , , , 
contig-60_2638201,binary.seasonlate.and.fall,5.93488636,4.348400984,15.54789311,8.04E-05,0.001500444,P04530,ATP-dependent helicase 41,Primase-helicase;Protein Gp41;, PF03796;, GO:0005524;GO:0003677;GO:0003678;GO:0039686;GO:0006260;, ,  F:ATP binding; F:DNA binding; F:DNA helicase activity;,  P:bidirectional double-stranded viral DNA replication; P:DNA replication;
contig-60_3609,binary.seasonlate.and.fall,5.936265861,4.339456542,15.37995798,8.79E-05,0.001629691,,,, , , , , 
contig-60_4001,binary.seasonlate.and.fall,5.936695273,4.482908658,20.03384334,7.61E-06,0.000175601,O64333,Tail tip assembly protein K {ECO:0000303|PubMed:10860722},Gene product 19 {ECO:0000305};Probable endopeptidase;Tail assembly protein K;, PF00877;PF14464;, GO:0030430;GO:0008234;GO:0046872;GO:0008237;GO:0098003;,  C:host cell cytoplasm;,  F:cysteine-type peptidase activity; F:metal ion binding; F:metallopeptidase activity;,  P:viral tail assembly;
contig-60_26065,binary.seasonlate.and.fall,5.937017118,4.861934261,17.47132649,2.92E-05,0.000593202,,,, , , , , 
contig-60_216962,binary.seasonlate.and.fall,5.943198053,3.939826985,14.87097523,0.000115121,0.002080021,Q04G65,Adenylate kinase {ECO:0000255|HAMAP-Rule:MF_00235},ATP-AMP transphosphorylase {ECO:0000255|HAMAP-Rule:MF_00235};ATP:AMP phosphotransferase {ECO:0000255|HAMAP-Rule:MF_00235};Adenylate monophosphate kinase {ECO:0000255|HAMAP-Rule:MF_00235};, , GO:0005737;GO:0004017;GO:0005524;GO:0044209;,  C:cytoplasm;,  F:adenylate kinase activity; F:ATP binding;,  P:AMP salvage;
contig-60_9256,binary.seasonlate.and.fall,5.944965313,4.038440078,23.5614776,1.21E-06,3.57E-05,P0DKH3 Q6Y657 Q84W71,Ribonucleoside-diphosphate reductase small chain B,Ribonucleoside-diphosphate reductase R2B subunit;Ribonucleotide reductase small subunit B;, PF00268;, GO:0005737;GO:0046872;GO:0004748;GO:0009263;GO:0006260;,  C:cytoplasm;,"  F:metal ion binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication;
contig-60_1744119,binary.seasonlate.and.fall,5.946235882,4.610843376,17.35191167,3.11E-05,0.000628941,,,, , , , , 
contig-60_6549,binary.seasonlate.and.fall,5.952674685,3.699987238,18.15002743,2.04E-05,0.000429586,P11107 Q5DMH9 Q66LU1,Probable helicase D10 {ECO:0000312|EMBL:AAX12052.1},Protein D10;, PF00271;PF04851;, GO:0005524;GO:0003677;GO:0004386;, ,  F:ATP binding; F:DNA binding; F:helicase activity;, 
contig-60_501873,binary.seasonlate.and.fall,5.977119082,4.925650235,15.0580701,0.000104254,0.001904612,,,, , , , , 
contig-60_1076924,binary.seasonlate.and.fall,5.98324165,4.589414238,14.94959278,0.000110422,0.00200615,,,, , , , , 
contig-60_6906921,binary.seasonlate.and.fall,5.988765832,5.522076088,22.14615136,2.53E-06,6.64E-05,,,, , , , , 
contig-60_54210,binary.seasonlate.and.fall,5.999709475,5.439372022,17.49128385,2.89E-05,0.000588099,Q6WI70,DNA-directed DNA polymerase {ECO:0000255|HAMAP-Rule:MF_04100},Gene product 43;, PF00136;PF03104;, GO:0008408;GO:0003677;GO:0003887;GO:0046872;GO:0000166;GO:0039686;GO:0006260;, ,  F:3'-5' exonuclease activity; F:DNA binding; F:DNA-directed DNA polymerase activity; F:metal ion binding; F:nucleotide binding;,  P:bidirectional double-stranded viral DNA replication; P:DNA replication;
contig-60_360197,binary.seasonlate.and.fall,6.001415034,3.891331315,19.49697961,1.01E-05,0.000224969,,,, , , , , 
contig-60_2675737,binary.seasonlate.and.fall,6.002961652,5.278473287,18.94597153,1.34E-05,0.000292494,P03694,"Terminase, large subunit gp19",DNA-packaging protein B;Gene product 19;, , GO:0005524;GO:0004519;GO:0046872;, ,  F:ATP binding; F:endonuclease activity; F:metal ion binding;, 
contig-60_494444,binary.seasonlate.and.fall,6.004567563,4.524822254,15.90360584,6.67E-05,0.001269161,,,, , , , , 
contig-60_348562,binary.seasonlate.and.fall,6.005347482,4.27566211,16.98990678,3.76E-05,0.000744469,,,, , , , , 
contig-60_6487,binary.seasonlate.and.fall,6.010239463,4.189816485,22.3193756,2.31E-06,6.13E-05,,,, , , , , 
contig-60_746,binary.seasonlate.and.fall,6.012109338,6.615072903,17.19115763,3.38E-05,0.000676959,,,, , , , , 
contig-60_5560,binary.seasonlate.and.fall,6.013362731,4.577287802,26.82486978,2.23E-07,9.22E-06,,,, , , , , 
contig-60_29150,binary.seasonlate.and.fall,6.014017133,5.088147851,24.16629769,8.84E-07,2.76E-05,,,, , , , , 
contig-60_41717,binary.seasonlate.and.fall,6.015453571,4.160982521,24.59139252,7.09E-07,2.32E-05,,,, , , , , 
contig-60_15709,binary.seasonlate.and.fall,6.019746511,5.128624617,24.85022122,6.20E-07,2.08E-05,,,, , , , , 
contig-60_72600,binary.seasonlate.and.fall,6.021832152,4.890049928,15.14885742,9.94E-05,0.001821257,,,, , , , , 
contig-60_2331175,binary.seasonlate.and.fall,6.029059368,7.410407826,10.62023409,0.001118569,0.016266763,,,, , , , , 
contig-60_729346,binary.seasonlate.and.fall,6.030384678,4.297182627,22.69178485,1.90E-06,5.18E-05,Q9CNJ4,Phosphate-binding protein PstS,, PF12849;, GO:0043190;GO:0042597;GO:0042301;GO:0035435;,  C:ATP-binding cassette (ABC) transporter complex; C:periplasmic space;,  F:phosphate ion binding;,  P:phosphate ion transmembrane transport;
contig-60_22580,binary.seasonlate.and.fall,6.031398943,3.715616451,21.28976809,3.95E-06,9.74E-05,,,, , , , , 
contig-60_3967657,binary.seasonlate.and.fall,6.054910227,3.97434473,16.25043003,5.55E-05,0.001071659,,,, , , , , 
contig-60_4530945,binary.seasonlate.and.fall,6.061587082,4.811721868,12.74928861,0.000356145,0.00587308,,,, , , , , 
contig-60_5439875,binary.seasonlate.and.fall,6.065005807,4.686124089,10.02909932,0.001540864,0.021379642,,,, , , , , 
contig-60_342751,binary.seasonlate.and.fall,6.066086762,3.760710281,20.05217893,7.54E-06,0.00017417,,,, , , , , 
contig-60_280941,binary.seasonlate.and.fall,6.070489895,6.526181031,12.36497717,0.000437463,0.007068661,P00581,DNA-directed DNA polymerase {ECO:0000255|HAMAP-Rule:MF_04101},Gene product 5;, PF00476;, GO:0008408;GO:0003677;GO:0003887;GO:0046872;GO:0000166;GO:0006261;GO:0039693;, ,  F:3'-5' exonuclease activity; F:DNA binding; F:DNA-directed DNA polymerase activity; F:metal ion binding; F:nucleotide binding;,  P:DNA-dependent DNA replication; P:viral DNA genome replication;
contig-60_10636,binary.seasonlate.and.fall,6.072729579,3.748250518,20.6322753,5.56E-06,0.000132057,B5X582 Q8GUI8 Q9SA83,"Twinkle homolog protein, chloroplastic/mitochondrial",DNA helicase;DNA primase;, PF03796;PF13662;, GO:0009507;GO:0005739;GO:0005524;GO:0004003;GO:0003896;GO:0046872;GO:0003697;GO:0009260;,  C:chloroplast; C:mitochondrion;,  F:ATP binding; F:ATP-dependent DNA helicase activity; F:DNA primase activity; F:metal ion binding; F:single-stranded DNA binding;,  P:ribonucleotide biosynthetic process;
contig-60_53465,binary.seasonlate.and.fall,6.073588928,4.340831051,15.63914051,7.67E-05,0.001437095,P43871,Modification methylase HindIII,Adenine-specific methyltransferase HindIII;, PF01555;, GO:0003677;GO:0008170;GO:0009007;GO:0009307;, ,  F:DNA binding; F:N-methyltransferase activity; F:site-specific DNA-methyltransferase (adenine-specific) activity;,  P:DNA restriction-modification system;
contig-60_9482,binary.seasonlate.and.fall,6.080966916,3.968909252,37.56512178,8.84E-10,4.34E-07,,,, , , , , 
contig-60_68942,binary.seasonlate.and.fall,6.083900765,3.883955551,18.06501159,2.13E-05,0.000446628,,,, , , , , 
contig-60_203239,binary.seasonlate.and.fall,6.095733245,5.444120443,24.83021435,6.26E-07,2.10E-05,,,, , , , , 
contig-60_1951161,binary.seasonlate.and.fall,6.095936869,7.406667797,12.02587134,0.000524672,0.008326344,,,, , , , , 
contig-60_7830,binary.seasonlate.and.fall,6.098129305,4.736867051,21.14507582,4.26E-06,0.000103814,,,, , , , , 
contig-60_3869129,binary.seasonlate.and.fall,6.102783991,5.753658863,22.08504788,2.61E-06,6.83E-05,P20315,DNA primase/helicase,, PF03796;, GO:0005524;GO:0003678;GO:0003896;GO:0008270;, ,  F:ATP binding; F:DNA helicase activity; F:DNA primase activity; F:zinc ion binding;, 
contig-60_883285,binary.seasonlate.and.fall,6.105789777,5.196579506,21.46484,3.60E-06,9.03E-05,,,, , , , , 
contig-60_1831297,binary.seasonlate.and.fall,6.107205033,4.142275303,18.22572968,1.96E-05,0.000414437,,,, , , , , 
contig-60_2676364,binary.seasonlate.and.fall,6.109424238,4.177518198,26.73001776,2.34E-07,9.62E-06,Q6H952,Photosystem II D2 protein,Photosystem Q(A) protein;, PF00124;, GO:0044160;GO:0016021;GO:0016168;GO:0045156;GO:0046872;GO:0009772;GO:0018298;,  C:host thylakoid membrane; C:integral component of membrane;,"  F:chlorophyll binding; F:electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; F:metal ion binding;",  P:photosynthetic electron transport in photosystem II; P:protein-chromophore linkage;
contig-60_464012,binary.seasonlate.and.fall,6.109718438,3.859173536,15.76709313,7.16E-05,0.001355467,,,, , , , , 
contig-60_143578,binary.seasonlate.and.fall,6.109891935,5.313730792,19.72331181,8.95E-06,0.00020245,,,, , , , , 
contig-60_41078,binary.seasonlate.and.fall,6.110556802,6.324794974,18.02397291,2.18E-05,0.000455201,,,, , , , , 
contig-60_6044,binary.seasonlate.and.fall,6.11371754,3.996410538,24.58573214,7.11E-07,2.32E-05,,,, , , , , 
contig-60_208054,binary.seasonlate.and.fall,6.114840472,9.887278451,12.73672809,0.000358544,0.005903767,,,, , , , , 
contig-60_494985,binary.seasonlate.and.fall,6.115615924,4.037045955,21.46358925,3.61E-06,9.03E-05,O41156,Probable flavin-dependent thymidylate synthase {ECO:0000250|UniProtKB:Q9WYT0},FAD-dependent thymidylate synthase {ECO:0000250|UniProtKB:Q9WYT0};, PF02511;, GO:0050660;GO:0050797;GO:0006231;GO:0006235;, ,  F:flavin adenine dinucleotide binding; F:thymidylate synthase (FAD) activity;,  P:dTMP biosynthetic process; P:dTTP biosynthetic process;
contig-60_29941,binary.seasonlate.and.fall,6.120258801,4.377138222,19.54976154,9.80E-06,0.000219584,,,, , , , , 
contig-60_1424166,binary.seasonlate.and.fall,6.122583795,4.5295848,22.09291191,2.60E-06,6.81E-05,,,, , , , , 
contig-60_31431,binary.seasonlate.and.fall,6.129315593,3.775305935,29.20057797,6.53E-08,3.75E-06,,,, , , , , 
contig-60_14863,binary.seasonlate.and.fall,6.130080348,4.634813335,26.22845875,3.03E-07,1.16E-05,,,, , , , , 
contig-60_2384678,binary.seasonlate.and.fall,6.134707568,3.960992841,12.7571696,0.000354647,0.005851322,,,, , , , , 
contig-60_254898,binary.seasonlate.and.fall,6.134922757,4.614798012,21.54412918,3.46E-06,8.75E-05,O30569,Modification methylase SmeI,Adenine-specific methyltransferase SmeIP;M.CcrMI ortholog;Modification methylase SmeIP;, PF01555;, GO:0003677;GO:0008170;GO:0009007;GO:0006260;, ,  F:DNA binding; F:N-methyltransferase activity; F:site-specific DNA-methyltransferase (adenine-specific) activity;,  P:DNA replication;
contig-60_7222444,binary.seasonlate.and.fall,6.1370209,4.777129735,13.07187253,0.000299763,0.005036213,,,, , , , , 
contig-60_8086,binary.seasonlate.and.fall,6.138222598,3.722184658,26.24337727,3.01E-07,1.16E-05,,,, , , , , 
contig-60_113346,binary.seasonlate.and.fall,6.138626985,4.069983959,22.98878428,1.63E-06,4.56E-05,P00452 P78088 P78177,Ribonucleoside-diphosphate reductase 1 subunit alpha,Protein B1;Ribonucleoside-diphosphate reductase 1 R1 subunit;Ribonucleotide reductase 1;, PF03477;PF02867;PF00317;, GO:0005829;GO:0005971;GO:0005524;GO:0042802;GO:0004748;GO:0009263;GO:0006260;GO:0015949;,  C:cytosol; C:ribonucleoside-diphosphate reductase complex;,"  F:ATP binding; F:identical protein binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication; P:nucleobase-containing small molecule interconversion;
contig-60_94434,binary.seasonlate.and.fall,6.146069897,3.825996054,21.8704204,2.92E-06,7.52E-05,,,, , , , , 
contig-60_196724,binary.seasonlate.and.fall,6.154424554,4.06777408,21.3045722,3.92E-06,9.69E-05,,,, , , , , 
contig-60_19694,binary.seasonlate.and.fall,6.157145158,3.853037758,29.0898266,6.91E-08,3.90E-06,,,, , , , , 
contig-60_25042,binary.seasonlate.and.fall,6.157195732,4.050673924,32.14602173,1.43E-08,1.36E-06,,,, , , , , 
contig-60_453036,binary.seasonlate.and.fall,6.157761854,5.309585747,17.95732998,2.26E-05,0.000469927,,,, , , , , 
contig-60_68680,binary.seasonlate.and.fall,6.158930267,4.544359401,18.2809362,1.91E-05,0.000404157,,,, , , , , 
contig-60_164253,binary.seasonlate.and.fall,6.160855024,5.381303426,22.294728,2.34E-06,6.20E-05,,,, , , , , 
contig-60_34647,binary.seasonlate.and.fall,6.161262706,4.7779485,21.23909907,4.05E-06,9.95E-05,Q58YV9 Q5JBG3,O-antigen biosynthesis glycosyltransferase WbnK {ECO:0000305},"GDP-Fuc:beta-D-Gal-1,3-alpha-D-GalNAc-1,3-alpha-GalNAc-diphosphoundecaprenol alpha-1,2-fucosyltransferase {ECO:0000305};", PF01531;, GO:0016020;GO:0008107;GO:0009243;,  C:membrane;,  F:galactoside 2-alpha-L-fucosyltransferase activity;,  P:O antigen biosynthetic process;
contig-60_38879,binary.seasonlate.and.fall,6.165412315,4.314054816,21.92552345,2.83E-06,7.32E-05,,,, , , , , 
contig-60_18391,binary.seasonlate.and.fall,6.167625226,5.45360659,13.92365036,0.000190388,0.003305575,O31626,Putative ATP-dependent DNA helicase YjcD,, PF00580;PF13361;, GO:0005737;GO:0033202;GO:0005524;GO:0043140;GO:0003677;GO:0000287;GO:0006298;GO:0060543;GO:0006289;GO:0051260;GO:0070581;GO:0009432;GO:0009650;,  C:cytoplasm; C:DNA helicase complex;,  F:ATP binding; F:ATP-dependent 3'-5' DNA helicase activity; F:DNA binding; F:magnesium ion binding;,  P:mismatch repair; P:negative regulation of strand invasion; P:nucleotide-excision repair; P:protein homooligomerization; P:rolling circle DNA replication; P:SOS response; P:UV protection;
contig-60_6104,binary.seasonlate.and.fall,6.168778297,4.499043035,18.83717805,1.42E-05,0.000307827,,,, , , , , 
contig-60_13906,binary.seasonlate.and.fall,6.188838381,4.443714444,14.89571062,0.000113621,0.002054053,P19822 Q38546 Q5DMI1 Q66LU3 Q6QGG5,DNA polymerase {ECO:0000255|RuleBase:RU004460},, PF00476;PF01612;, GO:0008408;GO:0003677;GO:0003887;GO:0006261;GO:0039693;, ,  F:3'-5' exonuclease activity; F:DNA binding; F:DNA-directed DNA polymerase activity;,  P:DNA-dependent DNA replication; P:viral DNA genome replication;
contig-60_118836,binary.seasonlate.and.fall,6.193000293,4.290209354,13.84089899,0.000198958,0.003441555,,,, , , , , 
contig-60_14242,binary.seasonlate.and.fall,6.195847367,6.968208802,17.62431136,2.69E-05,0.000551784,,,, , , , , 
contig-60_35202,binary.seasonlate.and.fall,6.196136905,3.719742479,14.30786383,0.000155215,0.002741161,,,, , , , , 
contig-60_5388393,binary.seasonlate.and.fall,6.197461463,4.847109542,16.90286784,3.93E-05,0.000776587,Q0QZ08,Photosystem II D2 protein,Photosystem Q(A) protein;, PF00124;, GO:0044160;GO:0016021;GO:0016168;GO:0045156;GO:0046872;GO:0009772;GO:0018298;,  C:host thylakoid membrane; C:integral component of membrane;,"  F:chlorophyll binding; F:electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; F:metal ion binding;",  P:photosynthetic electron transport in photosystem II; P:protein-chromophore linkage;
contig-60_10546,binary.seasonlate.and.fall,6.199823159,3.733752638,24.11650975,9.07E-07,2.82E-05,P20703,ATP-dependent DNA helicase uvsW,Dar protein;, PF00271;PF04851;PF11637;, GO:0005524;GO:0003677;GO:0004386;, ,  F:ATP binding; F:DNA binding; F:helicase activity;, 
contig-60_99213,binary.seasonlate.and.fall,6.20243935,4.597118095,24.91033755,6.01E-07,2.03E-05,,,, , , , , 
contig-60_10095,binary.seasonlate.and.fall,6.205055053,4.328527137,26.88901354,2.15E-07,8.98E-06,P11112 Q9T0U7,Tail completion protein gp15 {ECO:0000305},Gene product 15;Tail connector protein 15 {ECO:0000305};Tail terminator protein {ECO:0000305};, PF16724;, GO:0019012;,  C:virion;, , 
contig-60_955846,binary.seasonlate.and.fall,6.208614275,4.079310424,29.60262755,5.30E-08,3.22E-06,A5GTY4,Photosystem II protein D1 1 {ECO:0000255|HAMAP-Rule:MF_01379},Photosystem II Q(B) protein 1 {ECO:0000255|HAMAP-Rule:MF_01379};, PF00124;, GO:0016021;GO:0009523;GO:0042651;GO:0016168;GO:0045156;GO:0005506;GO:0016682;GO:0009772;GO:0018298;GO:0009635;,  C:integral component of membrane; C:photosystem II; C:thylakoid membrane;,"  F:chlorophyll binding; F:electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; F:iron ion binding; F:oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor;",  P:photosynthetic electron transport in photosystem II; P:protein-chromophore linkage; P:response to herbicide;
contig-60_25836,binary.seasonlate.and.fall,6.212429057,5.353187086,24.32005447,8.16E-07,2.59E-05,P03695 Q38555,Single-stranded DNA-binding protein,Gp32;Helix-destabilizing protein;, PF08804;, GO:0046872;GO:0003697;GO:0039686;GO:0006310;GO:0006281;GO:0006260;, ,  F:metal ion binding; F:single-stranded DNA binding;,  P:bidirectional double-stranded viral DNA replication; P:DNA recombination; P:DNA repair; P:DNA replication;
contig-60_520880,binary.seasonlate.and.fall,6.213632984,3.948504165,21.74139834,3.12E-06,7.96E-05,,,, , , , , 
contig-60_7657123,binary.seasonlate.and.fall,6.217663411,4.943606627,19.10081685,1.24E-05,0.000271313,,,, , , , , 
contig-60_464464,binary.seasonlate.and.fall,6.217768263,4.988494745,18.3405102,1.85E-05,0.00039297,,,, , , , , 
contig-60_8587,binary.seasonlate.and.fall,6.218524159,4.182942207,17.77656247,2.48E-05,0.000513182,,,, , , , , 
contig-60_508194,binary.seasonlate.and.fall,6.222576415,3.74276422,20.93876597,4.74E-06,0.000114596,,,, , , , , 
contig-60_2901,binary.seasonlate.and.fall,6.223705118,5.407302237,28.11583174,1.14E-07,5.59E-06,Q0TQV7,UPF0229 protein CPF_1540 {ECO:0000255|HAMAP-Rule:MF_01232},, PF04285;, , , , 
contig-60_57682,binary.seasonlate.and.fall,6.223801014,4.932619552,23.24308749,1.43E-06,4.12E-05,,,, , , , , 
contig-60_14198,binary.seasonlate.and.fall,6.22462303,4.417362653,20.33074681,6.51E-06,0.000152498,,,, , , , , 
contig-60_2961,binary.seasonlate.and.fall,6.227582332,5.157921358,24.81544851,6.31E-07,2.11E-05,,,, , , , , 
